Location name,Amount spent (CAD)
Alberta,5827
British Columbia,8394
Manitoba,6259
New Brunswick,1485
Newfoundland and Labrador,1246
Northwest Territories,192
Nova Scotia,2228
Nunavut,155
Ontario,28703
Prince Edward Island,303
Quebec,13216
Saskatchewan,2118
Unknown,≤100
Yukon,155
