Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,418
Bicol Region,2084
Cagayan Valley,2077
Calabarzon,11847
Caraga,1169
Central Luzon,5673
Central Visayas,4641
Cordillera Administrative Region,834
Davao Region,2076
Eastern Visayas,2265
Ilocos Region,3004
Metro Manila,14487
Mimaropa,2404
Northern Mindanao,3707
Soccsksargen,1597
Unknown,≤100
Western Visayas,3773
Zamboanga Peninsula,1684
