Location name,Amount spent (CLP)
Antofagasta Region,548185
Araucanía Region,868375
Arica y Parinacota Region,330123
Atacama Region,361554
Aysén Region,196886
Bío Bío Region,1513437
Coquimbo Region,680983
Los Lagos Region,568377
Los Ríos Region,427636
Magallanes y la Antártica Chilena Region,259691
Maule Region,959534
O'Higgins Region,770491
Santiago Metropolitan Region,3020285
Tarapacá Region,360376
Unknown,≤100
Valparaíso Region,1290267
