Location name,Amount spent (TRY)
Adana Province,1648
Adıyaman Province,≤100
Afyonkarahisar Province,≤100
Aksaray Province,112
Amasya Province,≤100
Ankara Province,1119
Antalya Province,835
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,193
Ağrı Province,≤100
Balıkesir Province,161
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,508
Denizli Province,178
Diyarbakır Province,113
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,159
Gaziantep Province,235
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,234
Isparta Province,≤100
Istanbul Province,5857
Iğdır Province,≤100
Kahramanmaraş Province,≤100
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,1093
Kilis Province,≤100
Kocaeli Province,243
Konya Province,248
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,188
Mardin Province,≤100
Mersin Province,225
Muğla Province,185
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,143
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,121
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,519
Tokat Province,≤100
Trabzon Province,120
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,≤100
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1351
Şanlıurfa Province,115
Şırnak Province,≤100
