Location name,Amount spent (TWD)
Changhua,5993
Chiayi,1226
Hsinchu,3029
Hsinchu City,6011
Hualien,2212
Kaohsiung,20758
Keelung City,2582
Kinmen,360
Lienchiang,≤100
Miaoli,3083
Nantou,2159
New Taipei City,33172
Penghu,451
Pingtung,3872
Taichung,24113
Tainan,12849
Taipei,29816
Taitung,1455
Taoyuan City,21001
Unknown,2469
Yilan,2148
Yunlin,3671
