Location name,Amount spent (EUR)
Aveiro District,149
Azores,≤100
Beja District,≤100
Braga District,199
Braganca,≤100
Castelo Branco District,≤100
Coimbra District,114
Faro District,123
Guarda District,≤100
Leiria District,129
Lisbon District,676
Madeira,≤100
Portalegre District,≤100
Porto District,445
Santarém District,110
Setúbal District,225
Unknown,≤100
Viana do Castelo District,≤100
Vila Real District,≤100
Viseu District,≤100
Évora District,≤100
