Location name,Amount spent (INR)
Andaman and Nicobar Islands,260
Andhra Pradesh,51099
Arunachal Pradesh,1883
Assam,38702
Bihar,127471
Chandigarh,2114
Chhattisgarh,44656
Dadra and Nagar Haveli,3116
Delhi,895443
Goa,2451
Gujarat,3004625
Haryana,95144
Himachal Pradesh,20044
Jammu and Kashmir,14671
Jharkhand,22285
Karnataka,90511
Kerala,29573
Lakshadweep,≤100
Madhya Pradesh,141717
Maharashtra,239338
Manipur,5406
Meghalaya,15927
Mizoram,1539
Nagaland,1947
Odisha,22186
Puducherry,2140
Punjab region,35879
Rajasthan,110564
Sikkim,1709
Tamil Nadu,45335
Telangana,42955
Tripura,9188
Unknown,≤100
Uttar Pradesh,206715
Uttarakhand,16681
West Bengal,74692
