Location name,Amount spent (RON)
Alba County,522
Arad County,681
Argeș County,880
Bacău County,919
Bihor County,1168
Bistrița-Năsăud County,461
Botoșani County,526
Brașov County,968
Brăila County,388
Bucharest,4504
Buzău County,663
Caraș-Severin County,341
Cluj County,1632
Constanța County,1238
Covasna County,416
Călărași County,304
Dolj County,1494
Dâmbovița County,745
Galați County,749
Giurgiu County,351
Gorj County,546
Harghita County,635
Hunedoara County,774
Ialomița County,333
Iași County,2914
Ilfov County,607
Maramureș County,738
Mehedinți County,333
Mureș County,979
Neamț County,880
Olt County,458
Prahova County,1328
Satu Mare County,488
Sibiu County,624
Suceava County,980
Sălaj County,542
Teleorman County,412
Timiș County,1278
Tulcea County,251
Unknown,≤100
Vaslui County,456
Vrancea County,603
Vâlcea County,851
