Location name,Amount spent (GTQ)
Alta Verapaz Department,1174
Baja Verapaz Department,380
Chimaltenango Department,997
Chiquimula Department,701
El Progreso Department,329
Escuintla Department,1704
Guatemala Department,23166
Huehuetenango Department,1648
Izabal Department,1308
Jalapa Department,441
Jutiapa Department,782
Petén Department,661
Quetzaltenango Department,2424
Quiché Department,1077
Retalhuleu Department,652
Sacatepéquez Department,919
San Marcos Department,3642
Santa Rosa Department,554
Sololá Department,634
Suchitepéquez Department,904
Totonicapán Department,591
Unknown,≤100
Zacapa Department,444
