Location name,Amount spent (ZAR)
Eastern Cape,827
Free State,476
Gauteng,4677
KwaZulu-Natal,1047
Limpopo,287
Mpumalanga,329
North West,273
Northern Cape,≤100
Unknown,≤100
Western Cape,16503
