Location name,Amount spent (VND)
An Giang Province,10106
Bà Rịa–Vũng Tàu Province,12014
Bình Dương Province,14126
Bình Phước Province,7477
Bình Thuận Province,10985
Bình Định Province,11159
Bạc Liêu Province,3721
Bắc Giang Province,19412
Bắc Kạn Province,3173
Bắc Ninh Province,101752
Bến Tre Province,7181
Cao Bằng Province,4549
Cà Mau Province,5010
Cần Thơ,9028
Da Nang,92758
Gia Lai Province,7020
Haiphong,20027
Ho Chi Minh City,46619
Hà Giang Province,3449
Hà Nam Province,7623
Hà Tĩnh Province,16546
Hòa Bình Province,7465
Hưng Yên Province,10877
Hải Dương Province,21070
Hậu Giang Province,1780
Khánh Hòa Province,10533
Kiên Giang Province,8730
Kon Tum Province,2561
Lai Châu Province,1089
Long An Province,7690
Lào Cai Province,5469
Lâm Đồng Province,10676
Lạng Sơn Province,7525
Nam Định Province,16475
Nghệ An Province,80277
Ninh Bình Province,8227
Ninh Thuận Province,3688
Phú Thọ Province,14507
Phú Yên Province,7539
Quảng Bình Province,8206
Quảng Nam Province,14370
Quảng Ngãi Province,8230
Quảng Ninh Province,13532
Quảng Trị Province,7223
Sóc Trăng Province,4434
Sơn La Province,6683
Thanh Hóa Province,25901
Thái Bình Province,17803
Thái Nguyên Province,16382
Thừa Thiên–Huế Province,15211
Tiền Giang Province,9168
Trà Vinh Province,6663
Tuyên Quang Province,7578
Tây Ninh Province,8050
Vĩnh Long Province,4885
Vĩnh Phúc Province,9980
Yên Bái Province,5983
Điện Biên Province,4277
Đắk Lắk Province,85430
Đắk Nông Province,7101
Đồng Nai Province,26749
Đồng Tháp Province,6985
