Location name,Amount spent (DKK)
Capital Region of Denmark,43374
Central Denmark Region,21729
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9189
Region of Southern Denmark,18736
Unknown,≤100
Zealand Region,15069
