Location name,Amount spent (HUF)
Baranya County,116727
Borsod-Abaúj-Zemplén County,183641
Budapest,629603
Bács-Kiskun County,162412
Békés County,104423
Csongrád County,126230
Fejér County,135243
Győr-Moson-Sopron County,148427
Hajdú-Bihar County,159718
Heves County,97315
Jász-Nagykun-Szolnok County,127475
Komárom-Esztergom County,97355
Nógrád County,55787
Pest County,370005
Somogy County,89299
Szabolcs-Szatmár-Bereg County,165535
Tolna County,70733
Unknown,≤100
Vas County,81364
Veszprém County,103366
Zala County,83255
