Location name,Amount spent (NZD)
Auckland Region,7790
Bay of Plenty Region,1223
Canterbury,2393
Gisborne District,190
Hawke's Bay,1038
Manawatu-Wanganui,1114
Marlborough Region,152
Nelson Province,240
Northland Region,687
Otago,831
Southland,389
Taranaki,609
Tasman District,145
Tokelau,≤100
Unknown,≤100
Waikato,2458
Wellington Region,1707
West Coast,121
