Location name,Amount spent (JPY)
Aichi Prefecture,40013
Akita Prefecture,1046
Aomori Prefecture,1260
Chiba Prefecture,13480
Ehime Prefecture,1582
Fukui Prefecture,1176
Fukuoka Prefecture,36616
Fukushima Prefecture,2144
Gifu Prefecture,5339
Gunma Prefecture,2200
Hiroshima Prefecture,4273
Hokkaido,7374
Hyōgo Prefecture,8971
Ibaraki Prefecture,3490
Ishikawa Prefecture,1674
Iwate Prefecture,1258
Kagawa Prefecture,1613
Kagoshima Prefecture,3458
Kanagawa Prefecture,18882
Kumamoto Prefecture,2933
Kyoto Prefecture,6400
Kōchi Prefecture,871
Mie Prefecture,2324
Miyagi Prefecture,9697
Miyazaki Prefecture,1784
Nagano Prefecture,3186
Nagasaki Prefecture,2984
Nara Prefecture,1958
Niigata Prefecture,2436
Okayama Prefecture,3892
Okinawa Prefecture,5074
Osaka Prefecture,66223
Saga Prefecture,1991
Saitama Prefecture,16813
Shiga Prefecture,1969
Shimane Prefecture,1333
Shizuoka Prefecture,5387
Tochigi Prefecture,2451
Tokushima Prefecture,1225
Tokyo,50182
Tottori Prefecture,966
Toyama Prefecture,1386
Wakayama Prefecture,1176
Yamagata Prefecture,2912
Yamaguchi Prefecture,2136
Yamanashi Prefecture,1472
Ōita Prefecture,2170
