Location name,Amount spent (INR)
Andaman and Nicobar Islands,852
Andhra Pradesh,87667
Arunachal Pradesh,3460
Assam,11519
Bihar,29796
Chandigarh,2122
Chhattisgarh,29279
Dadra and Nagar Haveli,542
Delhi,41842
Goa,3556
Gujarat,40037
Haryana,30493
Himachal Pradesh,10937
Jammu and Kashmir,10390
Jharkhand,11308
Karnataka,246315
Kerala,10384
Lakshadweep,≤100
Madhya Pradesh,50489
Maharashtra,183563
Manipur,1919
Meghalaya,2895
Mizoram,446
Nagaland,2026
Odisha,12733
Puducherry,1605
Punjab region,29853
Rajasthan,143293
Sikkim,405
Tamil Nadu,49343
Telangana,33535
Tripura,1477
Unknown,≤100
Uttar Pradesh,105116
Uttarakhand,7540
West Bengal,37437
