Location name,Amount spent (LBP)
Beirut Governorate,3710392
Beqaa Governorate,999750
Mount Lebanon Governorate,2198880
Nabatieh Governorate,473293
North Governorate,1695135
South Governorate,773302
Unknown,≤100
