Location name,Amount spent (SEK)
Blekinge County,11922
Dalarna County,22058
Gotland County,5556
Gävleborg County,21696
Halland County,24024
Jämtland County,10176
Jönköping County,24739
Kalmar County,16376
Kronoberg County,12692
Norrbotten County,19451
Skåne County,97125
Stockholm County,183071
Södermanland County,22154
Unknown,≤100
Uppsala County,29896
Värmland County,20693
Västerbotten County,20299
Västernorrland County,18517
Västmanland County,20013
Västra Götaland County,137475
Örebro County,21602
Östergötland County,32043
