Location name,Amount spent (KES)
Central Province,420
Coast Province,1375
Eastern Province,4420
Nairobi,1542
North Eastern Province,≤100
Nyanza Province,280
Rift Valley Province,738
Unknown,≤100
Western Province,≤100
