Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,324
Apurímac Region,≤100
Arequipa Region,338
Ayacucho Region,129
Cajamarca Region,230
Callao,164
Cusco Region,257
Huancavelica Region,≤100
Huánuco Region,137
Ica Region,209
Junín Region,240
La Libertad Region,445
Lambayeque Region,287
Lima Region,2681
Loreto Region,421
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,480
Puno Region,268
San Martín Region,169
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,140
Unknown,≤100
