Location name,Amount spent (CLP)
Antofagasta Region,113202
Araucanía Region,111850
Arica y Parinacota Region,66542
Atacama Region,34345
Aysén Region,11884
Bío Bío Region,201587
Coquimbo Region,129648
Los Lagos Region,100089
Los Ríos Region,44876
Magallanes y la Antártica Chilena Region,22114
Maule Region,127452
O'Higgins Region,109869
Santiago Metropolitan Region,847010
Tarapacá Region,46005
Unknown,134
Valparaíso Region,181266
