Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
12860228293,Politiken,Politiken,13603,17
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,7798,49
65929129383,Røde Kors,Røde Kors,5986,33
59143726810,Psykiatrifonden,Psykiatrifonden,5361,8
136775899834790,Plantebevægelsen,Plantebevægelsen,4645,9
599763040213164,Radius Elnet,Radius Elnet,4228,1
633648073469576,Folketingets EU-Oplysning,Folketingets EU-Oplysning,3781,28
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,2897,28
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,2686,8
12787473132,Berlingske,Berlingske,2595,28
748887235210811,Obton Forvaltning A/S,Obton A/S,2507,18
112229035481469,HK Danmark,HK Danmark,1939,2
101875098313543,Andel,Andel,1781,19
105511328705392,HØRT,Børns Vilkår,1714,4
126543540781090,Ældre Sagen,Ældre Sagen,1603,23
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,1576,30
132344416862423,FOA,FOA,1493,2
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,1449,4
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,1412,2
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,1187,4
55365680705,Greenpeace Danmark,Greenpeace Danmark,1175,23
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,1166,8
182121298931589,Odense Kommune,Odense Kommune,1162,10
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,1155,21
250994288337708,Sex og Samfund,Sex og Samfund,1082,8
304554445813,Videncentret Bolius,Videncentret Bolius,1055,13
867877683280051,Weekendavisen,Weekendavisen,1050,41
133707013355759,Danner,Danner,965,1
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,834,6
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,822,23
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,802,21
1724068710936501,Anja C Jensen,HK Danmark,784,9
102154048301476,Lederstof.dk,Lederne,775,27
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,774,10
246977185497434,Plastic Change,Plastic Change,753,13
547601668763372,Lizette Risgaard,Fagbevægelsens Hovedorganisation,719,1
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,719,3
130388840342741,Danske Bank,Danske Bank,674,4
412665418794113,Claus Jensen,Dansk Metal,660,1
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,653,6
166984636671085,Dansk Metal,Dansk Metal,643,2
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,642,4
200709746630443,Dyrenes Beskyttelse,Dyrenes Beskyttelse,637,1
36664432940,Amnesty International Danmark,Amnesty Danmark,526,18
2047554945456852,Climaider,Climaider,490,4
110560691837684,SolCompagniet,SolCompagniet,439,1
427213910721659,Dansk Blindesamfund,Dansk Blindesamfund,439,5
314676938743,DM din akademiske fagforening,DM,436,21
287306323369,Børnecancerfonden,Børnecancerfonden,414,2
144098125661833,Nordea Invest,Nordea Invest,412,5
110953988146557,Mads Samsing,HK Danmark,401,6
334571029981175,DM og MA studerende,DM,388,4
437410226312057,Københavns Kommune,Københavns Kommune,371,6
304554445813,Videncentret Bolius,Bolius,366,3
102031171445921,Grønne Nabofællesskaber,Grønne Nabofællesskaber,364,33
22030968736,Anima,Anima,361,2
671022293105597,Alex Vanopslagh,Alex Vanopslagh,321,1
2319925761607995,Radio4,RADIO FM4 A/S,309,16
1426135944281935,Jytte Rabæk Schmidt - Norlys repræsentantskabsvalg,Jytte Rabæk Schmidt - Norlys repræsentantskabsvalg,302,1
852608988134698,Tikko,Tikko,299,1
1550050698545795,Artpusher,Artpusher,290,8
144965885963,Oxfam IBIS - Sammen mod ulighed,Oxfam IBIS,271,2
1704424023182897,Politiken Historie,Politiken Historie,251,12
102374815695721,Nordic Talks,Nordic Council of Ministers,224,1
246097715413231,Alkohol & Samfund,Alkohol & Samfund,222,10
