Location name,Amount spent (TWD)
Changhua,11199
Chiayi,3590
Hsinchu,6765
Hsinchu City,9297
Hualien,3807
Kaohsiung,39373
Keelung City,6415
Kinmen,512
Lienchiang,≤100
Miaoli,10407
Nantou,4553
New Taipei City,59472
Penghu,885
Pingtung,9850
Taichung,41896
Tainan,26480
Taipei,47066
Taitung,2746
Taoyuan City,38462
Unknown,8269
Yilan,4422
Yunlin,6230
