Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
515012855207241,Hon. Eng. Vincent Musyoka Musau Kawaya,Musa Vincent Musyoka,1813,2
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,1690,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,671,2
443961495782341,Wanjiku Muhia,Wanjiku Muhia,287,1
105282877901533,Hon Vincent Machoka,Hon Vincent Machoka,216,1
105833652399018,Maina Karobia,Mwangi Godfrey Maina,191,1
344115315677504,This Is Laikipia,This Is Laikipia,189,2
133802223457730,ECLT Foundation,These ads ran without a disclaimer,135,1
1506723769658512,Susan Kihika,Susan Kihika,122,1
368194657215717,Times Higher Education Connect,These ads ran without a disclaimer,≤100,1
108214532179714,Inland Motors Mombasa,These ads ran without a disclaimer,≤100,1
100321965888531,Mrembo na Kazi,Samuel Mwangi,≤100,1
103018869332378,BantuPage,These ads ran without a disclaimer,≤100,1
106813207597143,Rahmina Paullete,These ads ran without a disclaimer,≤100,1
435381440344317,Dylan Ogline,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
469201610080869,Binance,These ads ran without a disclaimer,≤100,1
198454000189884,REW.ca,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
