Location name,Amount spent (RON)
Alba County,498
Arad County,520
Argeș County,837
Bacău County,515
Bihor County,735
Bistrița-Năsăud County,352
Botoșani County,383
Brașov County,635
Brăila County,292
Bucharest,3787
Buzău County,541
Caraș-Severin County,258
Cluj County,1396
Constanța County,839
Covasna County,219
Călărași County,242
Dolj County,554
Dâmbovița County,472
Galați County,651
Giurgiu County,188
Gorj County,758
Harghita County,329
Hunedoara County,431
Ialomița County,184
Iași County,1507
Ilfov County,402
Maramureș County,482
Mehedinți County,222
Mureș County,615
Neamț County,787
Olt County,276
Prahova County,922
Satu Mare County,317
Sibiu County,408
Suceava County,711
Sălaj County,225
Teleorman County,250
Timiș County,1624
Tulcea County,202
Unknown,≤100
Vaslui County,300
Vrancea County,493
Vâlcea County,483
