Location name,Amount spent (IDR)
Aceh,1590851
Bali,1507537
Bangka–Belitung Islands,292484
Banten,2377143
Bengkulu,582419
Central Java,15935302
Central Kalimantan,565184
Central Sulawesi,1040530
East Java,11743358
East Kalimantan,1372246
East Nusa Tenggara,1249957
Gorontalo,611512
Jakarta,8878959
Jambi,965812
Lampung,1616753
Maluku,892587
North Kalimantan,261085
North Maluku,347201
North Sulawesi,1455568
North Sumatra,4987050
Papua (province),537671
Riau,1794951
Riau Islands Province,626150
South Kalimantan,988309
South Sulawesi,3131085
South Sumatra,2067300
Southeast Sulawesi,899991
Special Region of Yogyakarta,1375751
Unknown,14634
West Java,12455150
West Kalimantan,1233686
West Nusa Tenggara,1423236
West Papua,281808
West Sulawesi,357156
West Sumatra,1116682
