Location name,Amount spent (ZAR)
Eastern Cape,797
Free State,710
Gauteng,3260
KwaZulu-Natal,1471
Limpopo,863
Mpumalanga,633
North West,438
Northern Cape,232
Unknown,≤100
Western Cape,1838
