Location name,Amount spent (CZK)
Central Bohemian Region,4681
Hradec Králové Region,1932
Karlovy Vary Region,1426
Liberec Region,1585
Moravian-Silesian Region,4857
Olomouc Region,3584
Pardubice Region,2040
Plzeň Region,2345
Prague,10020
South Bohemian Region,2304
South Moravian Region,5080
Unknown,≤100
Vysočina Region,1840
Zlín Region,2447
Ústí nad Labem Region,3507
