Location name,Amount spent (THB)
Amnat Charoen,126
Ang Thong,≤100
Ayutthaya,415
Bangkok,10543
Bueng Kan,≤100
Buriram,285
Chachoengsao,136
Chai Nat,≤100
Chaiyaphum,159
Chanthaburi,118
Chiang Mai,551
Chiang Rai,225
Chon Buri,441
Chumphon,351
Kalasin,133
Kamphaeng Phet,102
Kanchanaburi,236
Khon Kaen,284
Krabi,281
Lampang,149
Lamphun,≤100
Loei,115
Lop Buri,113
Mae Hong Son,≤100
Maha Sarakham,159
Mukdahan,113
Nakhon Nayok,≤100
Nakhon Pathom,174
Nakhon Phanom,101
Nakhon Ratchasima,436
Nakhon Sawan,411
Nakhon Si Thammarat,1802
Nan,≤100
Narathiwat,146
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,312
Pathum Thani,243
Pattani,424
Phangnga,159
Phatthalung,559
Phayao,≤100
Phetchabun,129
Phetchaburi,650
Phichit,198
Phitsanulok,1836
Phrae,≤100
Phuket,1281
Prachin Buri,≤100
Prachuap Khiri Khan,167
Ranong,≤100
Ratchaburi,141
Rayong,171
Roi Et,234
Sa Kaeo,≤100
Sakon Nakhon,170
Samut Prakan,227
Samut Sakhon,125
Samut Songkhram,≤100
Saraburi,119
Satun,293
Sing Buri,≤100
Sisaket,211
Songkhla,2600
Sukhothai,≤100
Suphan Buri,140
Surat Thani,8993
Surin,451
Tak,≤100
Trang,247
Trat,≤100
Ubon Ratchathani,353
Udon Thani,234
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,175
Yasothon,318
