Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
1534982756793690,Foodvisor,These ads ran without a disclaimer,152,1
171674682901078,Shakti Ellenwood Precious Jewellery,These ads ran without a disclaimer,≤100,1
23596074088,Dazed and Confused Magazine,These ads ran without a disclaimer,≤100,20
100959838629714,britishenglish2manylanguages,These ads ran without a disclaimer,≤100,1
107315028933018,Narmin / English Teacher,These ads ran without a disclaimer,≤100,1
813362708790951,UBP - Union Bancaire Privée,These ads ran without a disclaimer,≤100,2
682873885908981,Cocco Lagoon - Your Residence on the Indian Ocean,These ads ran without a disclaimer,≤100,2
174806462881204,Medical News,These ads ran without a disclaimer,≤100,2
100696642943720,Daily Green,These ads ran without a disclaimer,≤100,3
64676229680,Ayn Rand Institute,These ads ran without a disclaimer,≤100,1
