Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,362
Cerro Largo Department,≤100
Colonia Department,643
Durazno Department,≤100
Flores Department,≤100
Florida Department,108
Lavalleja Department,≤100
Maldonado Department,206
Montevideo Department,11425
Paysandú Department,5082
Rivera Department,723
Rocha Department,≤100
Río Negro Department,159
Salto Department,304
San José Department,112
Soriano Department,143
Tacuarembó Department,159
Treinta y Tres Department,≤100
