Location name,Amount spent (AUD)
Australian Capital Territory,1284
Jervis Bay Territory,≤100
New South Wales,13346
Northern Territory,663
Queensland,13371
South Australia,4166
Tasmania,1493
Unknown,≤100
Victoria,14689
Western Australia,7030
