Location name,Amount spent (EUR)
Alsace,404
Aquitaine,810
Auvergne,253
Basse-Normandie,295
Bourgogne,306
Bretagne,717
Centre,588
Champagne-Ardenne,284
Corse,106
Franche-Comté,203
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,393
Languedoc-Roussillon,766
Limousin,148
Lorraine,605
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,614
New Caledonia,≤100
Nord-Pas-de-Calais,803
Pays de la Loire,717
Picardie,416
Poitou-Charentes,452
Provence-Alpes-Côte d'Azur,1684
Reunion Island,≤100
Rhône-Alpes,1535
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3743
