Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1370
Bicol Region,8281
Cagayan Valley,3187
Calabarzon,20580
Caraga,1866
Central Luzon,16589
Central Visayas,8332
Cordillera Administrative Region,1962
Davao Region,4605
Eastern Visayas,3844
Ilocos Region,4781
Metro Manila,35497
Mimaropa,2172
Northern Mindanao,3831
Soccsksargen,3493
Unknown,≤100
Western Visayas,10377
Zamboanga Peninsula,2504
