Location name,Amount spent (CLP)
Antofagasta Region,89763
Araucanía Region,160095
Arica y Parinacota Region,49185
Atacama Region,45880
Aysén Region,24302
Bío Bío Region,357397
Coquimbo Region,130286
Los Lagos Region,198556
Los Ríos Region,71070
Magallanes y la Antártica Chilena Region,29869
Maule Region,145398
O'Higgins Region,126828
Santiago Metropolitan Region,1263607
Tarapacá Region,54862
Unknown,682
Valparaíso Region,345406
