Location name,Amount spent (ARS)
Buenos Aires,11979328
Catamarca,1160190
Chaco,438844
Chubut,1085522
Ciudad Autónoma de Buenos Aires,2331998
Corrientes,428221
Córdoba,6076591
Entre Rios,1931709
Formosa,133889
Jujuy,196717
La Pampa,156814
La Rioja,152854
Mendoza,326938
Misiones,207912
Neuquén,255361
Río Negro,222703
Salta,346526
San Juan,141399
San Luis,153795
Santa Cruz,344759
Santa Fe,12924202
Santiago del Estero,175739
Tierra del Fuego,93952
Tucuman,272415
Unknown,1368
