Location name,Amount spent (AUD)
Australian Capital Territory,2972
Jervis Bay Territory,≤100
New South Wales,39082
Northern Territory,1136
Queensland,40141
South Australia,12706
Tasmania,4315
Unknown,≤100
Victoria,38662
Western Australia,17877
