Location name,Amount spent (PYG)
Alto Paraguay Department,7114
Alto Paraná Department,369988
Amambay Department,32052
Asunción,417499
Boquerón department,17516
Caaguazú Department,96408
Caazapá Department,23867
Canindeyú Department,39860
Central Department,1250920
Concepción Department (Paraguay),69248
Cordillera Department,76153
Guairá Department,31853
Itapúa Department,109199
Misiones Department,25216
Paraguarí Department,37781
Presidente Hayes Department,25860
San Pedro Department,59182
Unknown,343
Ñeembucú Department,16870
