Location name,Amount spent (PKR)
Azad Kashmir,647
Balochistan,1714
Federally Administered Tribal Areas,218
Gilgit-Baltistan,362
Islamabad Capital Territory,1703
Khyber Pakhtunkhwa,5801
Punjab,44540
Sindh,10281
Unknown,≤100
