Location name,Amount spent (GTQ)
Alta Verapaz Department,162
Baja Verapaz Department,≤100
Chimaltenango Department,≤100
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,164
Guatemala Department,1740
Huehuetenango Department,251
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,212
Quiché Department,264
Retalhuleu Department,≤100
Sacatepéquez Department,≤100
San Marcos Department,457
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,388
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
