Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
178362315106,European Parliament,European Parliament,2324,9
122074554119,EU Social,EU Social,2273,7
163943696987223,Ziarul Puterea,Ziarul Puterea,866,26
243027859216579,Alfred Simonis,Partidul Social Democrat,626,11
102025778125741,Robert Cazanciuc,Partidul Social Democrat,536,4
1559885467641191,Râul Alb,Râul Alb,505,13
100187575506085,Bogdan Balaniscu,Partidul Social Democrat,473,5
114319753592403,AFACERI.news,Trend Communication,455,9
731035500293728,Siegfried Muresan,Siegfried Muresan,376,2
375782699694430,USR Ialomița,USR Ialomița,372,3
686190454826244,Declic,Declic,369,3
101254968456255,Călin Gheorghe Maties-senator,Partidul Social Democrat,344,4
107898832590939,European Commission,European Commission,309,2
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,274,3
329619180721358,Cosette Chichirău,Cosette Chichirău,236,1
104217171285776,Asociația Industriei Lemnului - Prolemn,Asociația Industriei Lemnului - Prolemn,218,2
1145522045624751,Filip Havarneanu,Filip Havarneanu,217,3
149371012371397,Newsweek Romania,Newsweek Romania,184,4
102743169253473,Reciclăm în România,Reciclăm în România,184,13
110980981783633,Modernizăm România,Partidul National Liberal,176,1
160389004118249,Iulian Dumitrescu,Iulian Dumitrescu,174,2
260365460647855,Mircea Geoana,Mircea Geoana,174,8
1592660281028385,USR Bihor,USR Bihor,158,1
108295090637741,ASAP România,Fundatia The Institute,154,2
348610102203573,Radu Miruţă,Radu Miruţă,148,2
101285816081220,Ilias Papageorgiadis,Ilias Papageorgiadis,148,3
100176572327483,TEVA Romania,These ads ran without a disclaimer,137,1
104214448943442,Adrian Niță,Nita Adrian,133,1
103971266033940,Mihai Enache,Mihai Enache,124,3
444661942362092,USR Sector 4,USR Sector 4,120,3
111273528544907,Alianța Național Creștină,Alianța Național Creștină,116,1
113873916863079,Mathias Corvinus Collegium - Erdély,Mathias Corvinus Collegium Egyesület,115,8
177992992396061,SenioriNET,SenioriNET,112,3
123526378261795,Stiri Locale,Stiri Locale,107,2
104369154745548,Diana Stoica,Diana Stoica,106,2
111105537419564,Oana Murariu,Oana Murariu,101,1
1933828876850844,Sondaje România,Sondaje.net,≤100,1
557284874779877,Mihai Coteț,Mihai Cotet,≤100,1
181221645364365,Carmen Avram,Carmen Avram,≤100,5
340365952736683,Alin Nica,Alin Nica,≤100,1
139292873479110,Florin Oancea,Florin Oancea,≤100,1
113795383753850,Viorel Băltărețu,Birou Parlamentar Viorel Băltărețu USR,≤100,3
1738339926491503,Silviu Dehelean,Silviu Dehelean,≤100,1
104477911460614,Adrian Giurgiu,Adrian Giurgiu,≤100,3
1469610256621123,PNL Dambovita,PNL Dambovita,≤100,2
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,≤100,3
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,≤100,11
261321050611325,Funky Citizens,Funky Citizens,≤100,4
207741001672,Speranta pentru Romania,Speranta pentru Romania,≤100,1
104143560936377,Irineu Darău,Birou Parlamentar Ambrozie-Irineu Darău,≤100,7
102601499822802,RMDSZ,RMDSZ,≤100,2
105999601301943,Ana Cătăuță,Ana Catauta,≤100,2
101340741758468,Radu Pescar,Radu Pescar,≤100,4
106658920962277,Cotinescu Aurelian,Cotinescu Aurelian,≤100,1
1128229287275038,Silvia Dinică,Silvia Dinică,≤100,4
356582831057941,Cristian Matei,Cristian Matei,≤100,2
697451833786949,Mihai Polițeanu,Mihai Polițeanu,≤100,2
332232000196436,ARCA - Romanian Forum for Refugees and Migrants,ARCA Forumul Român pentru Refugiați și Migranți,≤100,1
101971268361738,Andrei Miftode,Cabinet Parlamentar Marius Andrei Miftode,≤100,2
321896004518929,Ioan Mang,Ioan Mang,≤100,2
109849657256655,60m.RO,60M.RO,≤100,5
827831393930594,Alin Ignat,Alin Ignat,≤100,2
111541767412870,Adrian Hatos,Adrian Hatos,≤100,1
104669795412429,Politic Media,Politic Media,≤100,1
205092989831102,Senator Maricel Popa,Maricel Popa,≤100,2
1656475137918717,USR Sector 6,Uniunea Salvati Romania Filiala Sector 6,≤100,1
747983061916032,Átlátszó Erdély,Átlátszó Erdély,≤100,5
332232000196436,ARCA - Romanian Forum for Refugees and Migrants,ARCA - Romanian Forum for Refugees and Migrants,≤100,1
104417752138292,Claudiu Târziu,Claudiu Târziu,≤100,1
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,≤100,1
105131372029305,Forța Dreptei - Ilfov,Romanii Trebuie Sa Stie,≤100,10
