Location name,Amount spent (EUR)
Alsace,368
Aquitaine,439
Auvergne,119
Basse-Normandie,165
Bourgogne,209
Bretagne,417
Centre,308
Champagne-Ardenne,135
Corse,≤100
Franche-Comté,136
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,288
Languedoc-Roussillon,500
Limousin,≤100
Lorraine,444
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,387
New Caledonia,≤100
Nord-Pas-de-Calais,439
Pays de la Loire,525
Picardie,186
Poitou-Charentes,183
Provence-Alpes-Côte d'Azur,919
Reunion Island,≤100
Rhône-Alpes,894
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,1681
