Location name,Amount spent (HUF)
Baranya County,120211
Borsod-Abaúj-Zemplén County,169944
Budapest,678071
Bács-Kiskun County,140250
Békés County,97975
Csongrád County,138721
Fejér County,129649
Győr-Moson-Sopron County,139505
Hajdú-Bihar County,155940
Heves County,160047
Jász-Nagykun-Szolnok County,97702
Komárom-Esztergom County,82222
Nógrád County,48831
Pest County,288542
Somogy County,87265
Szabolcs-Szatmár-Bereg County,133167
Tolna County,71072
Unknown,≤100
Vas County,75063
Veszprém County,91757
Zala County,82568
