Location name,Amount spent (EUR)
Alsace,641
Aquitaine,1279
Auvergne,389
Basse-Normandie,426
Bourgogne,527
Bretagne,1015
Centre,759
Champagne-Ardenne,377
Corse,147
Franche-Comté,342
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,594
Languedoc-Roussillon,1135
Limousin,206
Lorraine,698
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1029
New Caledonia,≤100
Nord-Pas-de-Calais,1230
Pays de la Loire,1109
Picardie,770
Poitou-Charentes,553
Provence-Alpes-Côte d'Azur,2254
Reunion Island,≤100
Rhône-Alpes,2229
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4159
