Location name,Amount spent (USD)
Alabama,14785
Alaska,3237
American Samoa,≤100
Arizona,29750
Arkansas,9302
California,135812
Colorado,26297
Connecticut,10167
Delaware,3533
Florida,80127
Georgia,32355
Guam,≤100
Hawaii,4730
Idaho,6490
Illinois,38092
Indiana,22506
Iowa,18047
Kansas,11830
Kentucky,17804
Louisiana,19195
Maine,5705
Maryland,23467
Massachusetts,22536
Michigan,36761
Minnesota,23252
Mississippi,17402
Missouri,21062
Montana,4844
Nebraska,6754
Nevada,15906
New Hampshire,7460
New Jersey,41645
New Mexico,7500
New York,66282
North Carolina,41189
North Dakota,2230
Northern Mariana Islands,≤100
Ohio,90800
Oklahoma,14192
Oregon,13338
Pennsylvania,54239
Puerto Rico,≤100
Rhode Island,4240
South Carolina,24322
South Dakota,2063
Tennessee,31054
Texas,102467
Unknown,122
Utah,9492
Vermont,1832
Virgin Islands (U.S.),≤100
Virginia,34858
Washington,27404
"Washington, District of Columbia",9584
West Virginia,7687
Wisconsin,19879
Wyoming,2007
