Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,163
Apurímac Region,≤100
Arequipa Region,221
Ayacucho Region,≤100
Cajamarca Region,101
Callao,≤100
Cusco Region,180
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,143
Junín Region,≤100
La Libertad Region,198
Lambayeque Region,146
Lima Region,1488
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,148
Puno Region,197
San Martín Region,166
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
