Location name,Amount spent (MXN)
Aguascalientes,11441
Baja California,19155
Baja California Sur,2579
Campeche,7113
Chiapas,13823
Chihuahua,14728
Coahuila de Zaragoza,82004
Colima,14414
Distrito Federal,88030
Durango,5093
Guanajuato,34830
Guerrero,8411
Hidalgo,9031
Jalisco,203101
Michoacán de Ocampo,20526
Morelos,11202
Nayarit,21479
Nuevo León,47574
Oaxaca,10006
Puebla,20016
Querétaro Arteaga,14275
Quintana Roo,16410
San Luis Potosi,10525
Sinaloa,12272
Sonora,12127
State of Mexico,46516
Tabasco,9920
Tamaulipas,24574
Tlaxcala,2916
Unknown,≤100
Veracruz,19705
Yucatán,16978
Zacatecas,4442
