Location name,Amount spent (DKK)
Capital Region of Denmark,37708
Central Denmark Region,18962
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8150
Region of Southern Denmark,18860
Unknown,≤100
Zealand Region,11510
