Location name,Amount spent (COP)
Amazonas,12401
Antioquia,5675426
Arauca,10247
Atlantico,1104629
Bolivar,175456
Boyaca,69532
Caldas,454274
Caqueta,14883
Casanare,66191
Cauca,148075
Cesar,63164
Choco,76043
Cordoba,143073
Cundinamarca,278962
Distrito Especial,1192102
Guainia,746
Guaviare,17018
Huila,131277
La Guajira,31198
Magdalena,117901
Meta,277869
Narino,67939
Norte de Santander,739964
Putumayo,48227
Quindio,85383
Risaralda,743904
San Andres y Providencia,132841
Santander,267944
Sucre,145059
Tolima,116136
Unknown,215
Valle del Cauca,2662886
Vaupes,233
Vichada,553
