Location name,Amount spent (HUF)
Baranya County,207110
Borsod-Abaúj-Zemplén County,297745
Budapest,1512733
Bács-Kiskun County,278766
Békés County,168735
Csongrád County,273158
Fejér County,237400
Győr-Moson-Sopron County,266702
Hajdú-Bihar County,297915
Heves County,147333
Jász-Nagykun-Szolnok County,182507
Komárom-Esztergom County,162065
Nógrád County,85609
Pest County,641267
Somogy County,146558
Szabolcs-Szatmár-Bereg County,252197
Tolna County,120352
Unknown,186
Vas County,153931
Veszprém County,193487
Zala County,144946
