Location name,Amount spent (ZAR)
Eastern Cape,693
Free State,498
Gauteng,4978
KwaZulu-Natal,1336
Limpopo,273
Mpumalanga,333
North West,269
Northern Cape,340
Unknown,≤100
Western Cape,7667
