Location name,Amount spent (COP)
Amazonas,3069
Antioquia,8552492
Arauca,213059
Atlantico,1806206
Bolivar,1036496
Boyaca,521094
Caldas,725475
Caqueta,581370
Casanare,366239
Cauca,300343
Cesar,272876
Choco,55446
Cordoba,3175969
Cundinamarca,1065410
Distrito Especial,5031563
Guainia,20881
Guaviare,20307
Huila,704783
La Guajira,102335
Magdalena,257355
Meta,422013
Narino,210397
Norte de Santander,1783580
Putumayo,628869
Quindio,213064
Risaralda,1816354
San Andres y Providencia,68497
Santander,2102130
Sucre,151682
Tolima,957201
Unknown,318
Valle del Cauca,4953882
Vaupes,605
Vichada,1788
