Location name,Amount spent (CZK)
Central Bohemian Region,6852
Hradec Králové Region,2836
Karlovy Vary Region,1574
Liberec Region,2106
Moravian-Silesian Region,6363
Olomouc Region,3575
Pardubice Region,3743
Plzeň Region,3989
Prague,11629
South Bohemian Region,3062
South Moravian Region,7838
Unknown,≤100
Vysočina Region,2535
Zlín Region,2626
Ústí nad Labem Region,4836
