Location name,Amount spent (DKK)
Capital Region of Denmark,31605
Central Denmark Region,14703
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,6456
Region of Southern Denmark,14147
Unknown,≤100
Zealand Region,9115
