Location name,Amount spent (INR)
Andaman and Nicobar Islands,397
Andhra Pradesh,53990
Arunachal Pradesh,2608
Assam,39203
Bihar,103986
Chandigarh,4086
Chhattisgarh,35126
Dadra and Nagar Haveli,2690
Delhi,63735
Goa,3761
Gujarat,95994
Haryana,52098
Himachal Pradesh,20137
Jammu and Kashmir,20160
Jharkhand,30314
Karnataka,130396
Kerala,33046
Lakshadweep,≤100
Madhya Pradesh,83363
Maharashtra,197890
Manipur,4744
Meghalaya,108019
Mizoram,1865
Nagaland,2505
Odisha,28143
Puducherry,3437
Punjab region,60033
Rajasthan,122552
Sikkim,1944
Tamil Nadu,51710
Telangana,64758
Tripura,54232
Unknown,≤100
Uttar Pradesh,186954
Uttarakhand,20372
West Bengal,99373
