Location name,Amount spent (PKR)
Azad Kashmir,713
Balochistan,902
Federally Administered Tribal Areas,214
Gilgit-Baltistan,452
Islamabad Capital Territory,1260
Khyber Pakhtunkhwa,6027
Punjab,18506
Sindh,10184
Unknown,≤100
