Location name,Amount spent (ARS)
Buenos Aires,1364074
Catamarca,92691
Chaco,109382
Chubut,58932
Ciudad Autónoma de Buenos Aires,315404
Corrientes,32822
Córdoba,1211539
Entre Rios,61541
Formosa,38252
Jujuy,17735
La Pampa,277060
La Rioja,23919
Mendoza,55926
Misiones,28387
Neuquén,252067
Río Negro,36591
Salta,123158
San Juan,113000
San Luis,49658
Santa Cruz,5435
Santa Fe,346882
Santiago del Estero,11165
Tierra del Fuego,57424
Tucuman,98641
Unknown,132
