Location name,Amount spent (THB)
Amnat Charoen,4720
Ang Thong,2859
Ayutthaya,11686
Bangkok,284162
Bueng Kan,1667
Buriram,8941
Chachoengsao,8333
Chai Nat,2145
Chaiyaphum,9115
Chanthaburi,8414
Chiang Mai,81154
Chiang Rai,14904
Chon Buri,49979
Chumphon,6946
Kalasin,4356
Kamphaeng Phet,3652
Kanchanaburi,15474
Khon Kaen,28388
Krabi,11005
Lampang,7000
Lamphun,4192
Loei,3231
Lop Buri,8253
Mae Hong Son,5360
Maha Sarakham,5455
Mukdahan,1934
Nakhon Nayok,3779
Nakhon Pathom,12496
Nakhon Phanom,3824
Nakhon Ratchasima,26835
Nakhon Sawan,6525
Nakhon Si Thammarat,22848
Nan,1734
Narathiwat,5136
Nong Bua Lam Phu,3252
Nong Khai,3118
Nonthaburi,17082
Pathum Thani,20956
Pattani,8630
Phangnga,4118
Phatthalung,8684
Phayao,3213
Phetchabun,5701
Phetchaburi,5418
Phichit,4142
Phitsanulok,27302
Phrae,2509
Phuket,33949
Prachin Buri,4561
Prachuap Khiri Khan,6266
Ranong,2440
Ratchaburi,10441
Rayong,15084
Roi Et,7066
Sa Kaeo,4339
Sakon Nakhon,6695
Samut Prakan,22416
Samut Sakhon,14553
Samut Songkhram,4958
Saraburi,10235
Satun,3438
Sing Buri,1728
Sisaket,6080
Songkhla,39255
Sukhothai,4438
Suphan Buri,7538
Surat Thani,26609
Surin,7010
Tak,2297
Trang,13089
Trat,2173
Ubon Ratchathani,11923
Udon Thani,10135
Unknown,≤100
Uthai Thani,1782
Uttaradit,2172
Yala Province,5919
Yasothon,5816
