Location name,Amount spent (SEK)
Blekinge County,3010
Dalarna County,5945
Gotland County,1813
Gävleborg County,6145
Halland County,6954
Jämtland County,2931
Jönköping County,6999
Kalmar County,5030
Kronoberg County,3361
Norrbotten County,5027
Skåne County,25476
Stockholm County,54584
Södermanland County,6054
Unknown,≤100
Uppsala County,8014
Värmland County,5715
Västerbotten County,6431
Västernorrland County,4908
Västmanland County,5419
Västra Götaland County,42262
Örebro County,6271
Östergötland County,8557
