Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,285
Bangkok,8877
Bueng Kan,106
Buriram,306
Chachoengsao,242
Chai Nat,≤100
Chaiyaphum,208
Chanthaburi,155
Chiang Mai,5977
Chiang Rai,487
Chon Buri,828
Chumphon,254
Kalasin,199
Kamphaeng Phet,498
Kanchanaburi,273
Khon Kaen,554
Krabi,251
Lampang,235
Lamphun,498
Loei,148
Lop Buri,177
Mae Hong Son,≤100
Maha Sarakham,225
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,284
Nakhon Phanom,160
Nakhon Ratchasima,660
Nakhon Sawan,798
Nakhon Si Thammarat,502
Nan,128
Narathiwat,213
Nong Bua Lam Phu,115
Nong Khai,148
Nonthaburi,630
Pathum Thani,557
Pattani,516
Phangnga,115
Phatthalung,662
Phayao,143
Phetchabun,189
Phetchaburi,195
Phichit,179
Phitsanulok,579
Phrae,124
Phuket,394
Prachin Buri,156
Prachuap Khiri Khan,205
Ranong,117
Ratchaburi,279
Rayong,341
Roi Et,229
Sa Kaeo,117
Sakon Nakhon,258
Samut Prakan,301
Samut Sakhon,290
Samut Songkhram,≤100
Saraburi,209
Satun,248
Sing Buri,≤100
Sisaket,278
Songkhla,2847
Sukhothai,183
Suphan Buri,208
Surat Thani,644
Surin,450
Tak,282
Trang,228
Trat,128
Ubon Ratchathani,456
Udon Thani,343
Unknown,≤100
Uthai Thani,≤100
Uttaradit,123
Yala Province,247
Yasothon,114
