Location name,Amount spent (BRL)
Acre (state),890
Alagoas,2861
Amapá,1714
Amazonas,5767
Bahia,10732
Ceará,8371
Espírito Santo,3199
Federal District,4656
Goiás,8819
Maranhão,6050
Mato Grosso,5323
Mato Grosso do Sul,3197
Minas Gerais,23361
Paraná,10859
Paraíba,4309
Pará,9776
Pernambuco,11804
Piauí,3903
Rio Grande do Norte,3496
Rio Grande do Sul,11207
Rio de Janeiro (state),18690
Rondônia,2567
Roraima,1299
Santa Catarina,9751
Sergipe,3248
São Paulo (state),56845
Tocantins,3932
Unknown,≤100
