Location name,Amount spent (ZAR)
Eastern Cape,1365
Free State,1016
Gauteng,6171
KwaZulu-Natal,2289
Limpopo,858
Mpumalanga,927
North West,713
Northern Cape,303
Unknown,≤100
Western Cape,12297
