Location name,Amount spent (DKK)
Capital Region of Denmark,44315
Central Denmark Region,25493
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,10642
Region of Southern Denmark,22828
Unknown,≤100
Zealand Region,14953
