Location name,Amount spent (THB)
Amnat Charoen,1049
Ang Thong,1275
Ayutthaya,6259
Bangkok,181290
Bueng Kan,803
Buriram,5433
Chachoengsao,3788
Chai Nat,1048
Chaiyaphum,3497
Chanthaburi,5170
Chiang Mai,75730
Chiang Rai,3790
Chon Buri,29904
Chumphon,2261
Kalasin,3004
Kamphaeng Phet,3120
Kanchanaburi,14020
Khon Kaen,14887
Krabi,5906
Lampang,3410
Lamphun,2603
Loei,2053
Lop Buri,3730
Mae Hong Son,1704
Maha Sarakham,3279
Mukdahan,869
Nakhon Nayok,737
Nakhon Pathom,8904
Nakhon Phanom,1886
Nakhon Ratchasima,12928
Nakhon Sawan,4775
Nakhon Si Thammarat,6711
Nan,908
Narathiwat,1328
Nong Bua Lam Phu,1366
Nong Khai,1267
Nonthaburi,10329
Pathum Thani,13515
Pattani,2520
Phangnga,1448
Phatthalung,2894
Phayao,2563
Phetchabun,2839
Phetchaburi,1872
Phichit,3416
Phitsanulok,12478
Phrae,1424
Phuket,23984
Prachin Buri,1952
Prachuap Khiri Khan,2175
Ranong,742
Ratchaburi,6433
Rayong,6189
Roi Et,3206
Sa Kaeo,2277
Sakon Nakhon,2964
Samut Prakan,9548
Samut Sakhon,9835
Samut Songkhram,3690
Saraburi,4815
Satun,1042
Sing Buri,996
Sisaket,2845
Songkhla,22050
Sukhothai,2584
Suphan Buri,3134
Surat Thani,15485
Surin,3864
Tak,3582
Trang,6277
Trat,2350
Ubon Ratchathani,5130
Udon Thani,4739
Unknown,≤100
Uthai Thani,927
Uttaradit,1182
Yala Province,1793
Yasothon,2070
